aded25,gen25zm,gen25ac,gen25cs,gen25ea,gen25othr,gen25tot,win25
85073,0,0,0,0,0,0,Tie
85074,0,0,0,0,0,0,Tie
85075,0,0,0,0,0,0,Tie
85076,0,0,0,0,0,0,Tie
85077,0,0,0,0,0,0,Tie
85078,0,0,0,0,0,0,Tie
85079,0,0,0,0,0,0,Tie
85080,0,0,0,0,0,0,Tie
85081,0,0,0,0,0,0,Tie
86001,116,115,14,0,3,248,gen25zm
86002,154,168,9,4,5,340,gen25ac
86003,24,10,0,1,0,35,gen25zm
86004,139,130,13,0,5,287,gen25zm
86005,119,159,9,0,1,288,gen25ac
86006,131,135,8,0,4,278,gen25ac
86007,188,166,25,1,0,380,gen25zm
86008,159,131,8,3,2,303,gen25zm
86009,239,188,18,3,3,451,gen25zm
86010,207,136,13,1,1,358,gen25zm
86011,144,128,8,1,1,282,gen25zm
86012,156,129,14,3,2,304,gen25zm
86013,174,148,19,1,1,343,gen25zm
86014,102,90,16,1,2,211,gen25zm
86015,123,93,16,1,0,233,gen25zm
86016,229,125,23,1,2,380,gen25zm
86017,107,59,3,3,0,172,gen25zm
86018,194,141,15,1,2,353,gen25zm
86019,120,88,11,2,2,223,gen25zm
86020,153,116,9,0,2,280,gen25zm
86021,135,139,28,1,2,305,gen25ac
86022,128,108,9,0,0,245,gen25zm
86023,127,115,7,0,1,250,gen25zm
86024,97,118,9,1,5,230,gen25ac
86025,110,112,11,1,0,234,gen25ac
86026,169,129,15,4,3,320,gen25zm
86027,142,113,10,1,3,269,gen25zm
86028,133,119,8,3,0,263,gen25zm
86029,161,88,11,4,2,266,gen25zm
86030,178,123,22,1,2,326,gen25zm
86031,190,155,14,1,4,364,gen25zm
86032,164,107,20,1,1,293,gen25zm
86033,170,151,21,5,6,353,gen25zm
86034,107,111,6,1,1,226,gen25ac
86035,83,57,5,1,1,147,gen25zm
86036,141,71,3,2,0,217,gen25zm
86037,171,141,12,1,4,329,gen25zm
86038,171,140,15,4,3,333,gen25zm
86039,123,82,26,0,0,231,gen25zm
86040,130,89,13,3,1,236,gen25zm
86041,164,114,14,2,3,297,gen25zm
86042,197,186,22,6,0,411,gen25zm
86043,136,100,17,1,0,254,gen25zm
86044,137,160,7,0,2,306,gen25ac
86045,31,21,5,1,1,59,gen25zm
86046,140,102,16,0,3,261,gen25zm
86047,142,139,15,2,3,301,gen25zm
86048,126,94,17,1,3,241,gen25zm
86049,257,138,17,4,2,418,gen25zm
86050,184,174,18,2,3,381,gen25zm
86051,0,0,0,0,0,0,Tie
86052,0,0,0,0,0,0,Tie
87001,153,143,11,2,0,309,gen25zm
87002,137,136,11,3,4,291,gen25zm
87003,122,90,12,1,2,227,gen25zm
87004,168,148,19,1,1,337,gen25zm
87005,167,143,29,2,2,343,gen25zm
87006,156,113,12,0,3,284,gen25zm
87007,160,178,13,1,3,355,gen25ac
87008,200,81,18,0,1,300,gen25zm
87009,247,152,23,1,2,425,gen25zm
87010,159,117,20,3,3,302,gen25zm
87011,208,134,25,1,2,370,gen25zm
87012,204,112,32,0,3,351,gen25zm
87013,267,116,17,1,2,403,gen25zm
87014,319,174,23,2,1,519,gen25zm
87015,306,193,14,4,6,523,gen25zm
87016,281,179,28,2,3,493,gen25zm
87017,235,147,22,1,4,409,gen25zm
87018,306,213,31,5,2,557,gen25zm
87019,280,197,31,4,6,518,gen25zm
87020,261,154,25,5,1,446,gen25zm
87021,275,189,28,3,8,503,gen25zm
87022,307,202,23,2,4,538,gen25zm
87023,461,193,23,4,4,685,gen25zm
87024,412,173,31,3,3,622,gen25zm
87025,386,208,24,6,8,632,gen25zm
87026,394,177,22,0,5,598,gen25zm
87027,416,111,22,0,0,549,gen25zm
87028,285,150,23,0,5,463,gen25zm
87029,329,108,22,1,3,463,gen25zm
87030,334,101,24,2,1,462,gen25zm
87031,325,155,30,0,5,515,gen25zm
87032,257,132,25,0,6,420,gen25zm
87033,12,4,1,0,1,18,gen25zm
87034,175,174,26,3,3,381,gen25zm
87035,187,161,26,6,0,380,gen25zm
87036,22,13,1,0,0,36,gen25zm
87037,195,135,30,2,2,364,gen25zm
87038,256,151,17,1,7,432,gen25zm
87039,381,107,16,0,3,507,gen25zm
87040,280,104,13,2,5,404,gen25zm
